snames,year,nia_sw,nia_gw,nia_others,tnia,tgia
Chandigarh,1974,NA,NA,NA,NA,NA
Chandigarh,1975,NA,NA,NA,NA,NA
Chandigarh,1976,NA,NA,NA,NA,NA
Chandigarh,1977,NA,NA,NA,NA,NA
Chandigarh,1978,NA,NA,NA,NA,NA
Chandigarh,1979,NA,NA,NA,NA,NA
Chandigarh,1980,NA,NA,NA,NA,NA
Chandigarh,1981,NA,NA,NA,NA,NA
Chandigarh,1982,NA,NA,NA,NA,NA
Chandigarh,1983,NA,NA,NA,NA,NA
Chandigarh,1984,NA,NA,NA,NA,NA
Chandigarh,1985,NA,NA,NA,NA,NA
Chandigarh,1986,NA,NA,NA,NA,NA
Chandigarh,1987,NA,NA,NA,NA,NA
Chandigarh,1988,NA,NA,NA,NA,NA
Chandigarh,1989,NA,NA,NA,NA,NA
Chandigarh,1990,NA,NA,NA,NA,NA
Chandigarh,1991,NA,NA,NA,NA,NA
Chandigarh,1992,NA,NA,NA,NA,NA
Chandigarh,1993,NA,NA,NA,NA,NA
Chandigarh,1994,NA,NA,NA,NA,NA
Chandigarh,1995,NA,NA,NA,NA,NA
Chandigarh,1996,NA,NA,NA,NA,NA
Chandigarh,1997,NA,NA,NA,NA,NA
Chandigarh,1998,NA,NA,NA,NA,NA
Chandigarh,1999,NA,NA,NA,NA,NA
Chandigarh,2000,NA,NA,NA,NA,NA
Chandigarh,2001,NA,NA,NA,NA,NA
Chandigarh,2002,NA,NA,NA,NA,NA
Chandigarh,2003,NA,NA,NA,NA,NA
Chandigarh,2004,NA,NA,NA,NA,NA
Chandigarh,2005,NA,NA,NA,NA,NA
Chandigarh,2006,NA,NA,NA,NA,NA
Chandigarh,2007,NA,NA,NA,NA,NA
Chandigarh,2008,NA,NA,NA,NA,NA
Chandigarh,2009,NA,NA,NA,NA,NA
Chandigarh,2010,NA,NA,NA,NA,NA
Chandigarh,2011,NA,NA,NA,NA,NA
Chandigarh,2012,NA,NA,NA,NA,NA
Chandigarh,2013,NA,NA,NA,NA,NA
Chandigarh,2014,NA,NA,NA,NA,NA
Chattisgarh,1950,5.60470843,0.37953991,0.75567811,3.89427306,3.45933522
Chattisgarh,1951,5.72896465,0.41376072,0.60107865,3.93087583,3.55440561
Chattisgarh,1952,5.72519931,0.41401468,0.62069011,3.94450849,3.57280633
Chattisgarh,1953,6.1596254,0.42442695,0.53409404,4.08400986,3.73534601
Chattisgarh,1954,6.16197874,0.42703001,0.57815616,4.12490785,3.82581622
Chattisgarh,1955,6.49897666,0.42785538,0.56312919,4.25002956,3.93162035
Chattisgarh,1956,6.47873796,0.4168717,0.56083694,4.20801107,3.94235411
Chattisgarh,1957,6.6778303,0.43287104,0.54759284,4.32435559,4.08342629
